run_id,n,mean,std,min,max,p50,p95,p99,achieved_hz,message,config,backend,direction,payload_bytes,target_frequency_hz,transport,reliability,step_index,n_publish,n_receive,drop_rate,case
std_copy_fastcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,301,275.6211794019934,58.25807364386825,142.469,621.112,266.022,396.759,499.172,10.034555122702875,std,copy,fastcdr,py_to_cpp,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,std_copy_fastcdr
std_copy_fastcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,301,2446.2154950166114,351.75679655181864,1839.465,4414.106,2333.888,3005.587,3381.527,10.03461246444994,std,copy,fastcdr,py_to_py,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,std_copy_fastcdr
std_copy_fastcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,301,458.6181495016611,91.57495757578904,248.86,1177.944,448.396,616.654,741.77,10.034601488876188,std,copy,fastcdr,py_to_py,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,std_copy_fastcdr
std_copy_xcdr__cpp_to_cpp__1000000B__10Hz__shmem_ds__best_effort,301,711.741584717608,265.49409954866616,304.586,2509.845,655.769,1164.381,1341.056,10.037307677242175,std,copy,xcdr,cpp_to_cpp,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,std_copy_xcdr
std_copy_xcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,301,216.80089700996677,61.69678514698061,128.263,523.639,201.0,328.22,383.014,10.037306724993872,std,copy,xcdr,cpp_to_cpp,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,std_copy_xcdr
std_copy_xcdr__cpp_to_py__1000000B__10Hz__shmem_ds__best_effort,301,1233.6725913621262,351.0975472146959,644.468,3538.356,1195.368,1673.572,1943.813,10.037306863563561,std,copy,xcdr,cpp_to_py,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,std_copy_xcdr
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,301,400.6418671096346,94.13594878831155,241.015,849.795,374.447,576.85,631.644,10.037306180087015,std,copy,xcdr,cpp_to_py,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,std_copy_xcdr
std_copy_xcdr__py_to_cpp__1000000B__10Hz__shmem_ds__best_effort,301,881.1647873754154,296.7021320172494,400.848,2580.93,813.248,1350.625,1519.894,10.034601822401607,std,copy,xcdr,py_to_cpp,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,std_copy_xcdr
std_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,301,255.04867774086378,71.94989339426293,159.932,978.59,239.643,358.397,447.095,10.0346245041892,std,copy,xcdr,py_to_cpp,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,std_copy_xcdr
std_copy_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,301,2411.600219269103,386.535286846904,1676.792,4356.822,2318.947,3088.583,3536.722,10.034602575426476,std,copy,xcdr,py_to_py,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,std_copy_xcdr
std_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,301,371.3257541528239,96.53033986009802,231.288,877.45,347.076,571.862,635.162,10.034601231957929,std,copy,xcdr,py_to_py,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,std_copy_xcdr
